PaymentID,OrderID,CustomerID,Amount,Method,Date
PAY0000039,ORD0213015,CUST001563,65974.97,Cash,2023-07-01
PAY0000040,ORD0228310,CUST006215,108368.48,Debit Card,2023-07-01
PAY0000041,ORD0073167,CUST016063,34984.72,Wallet,2023-07-01
PAY0000042,ORD0086721,CUST011426,60594.62,Cash,2023-07-01
PAY0000043,ORD0198361,CUST044799,59625.27,EMI,2023-07-01
PAY0000044,ORD0168278,CUST016955,98411.29,Debit Card,2023-07-01
PAY0000045,ORD0128705,CUST024641,52185.86,Cash,2023-07-01
PAY0000046,ORD0078922,CUST042052,59951.3,Credit Card,2023-07-01
PAY0000047,ORD0107924,CUST031854,142325.44,Net Banking,2023-07-01
PAY0000048,ORD0100316,CUST013558,80479.93,EMI,2023-07-01
PAY0000049,ORD0166542,CUST003852,142373.76,Wallet,2023-07-01
PAY0000050,ORD0042179,CUST036519,56367.45,Wallet,2023-07-01
PAY0000051,ORD0248910,CUST017738,37294.38,Net Banking,2023-07-01
PAY0000052,ORD0026474,CUST019479,98411.29,UPI,2023-07-01
PAY0000053,ORD0175846,CUST022475,35815.54,Cash,2023-07-01
PAY0000054,ORD0078834,CUST028361,81343.52,Wallet,2023-07-01
PAY0000055,ORD0247670,CUST049635,99559.84,Cash,2023-07-01
PAY0000056,ORD0029095,CUST035135,35631.56,UPI,2023-07-01
PAY0000057,ORD0069503,CUST003384,82114.44,Net Banking,2023-07-01
PAY0000058,ORD0114246,CUST013064,69590.34,EMI,2023-07-01
PAY0000059,ORD0191792,CUST042826,55827.56,EMI,2023-07-01
PAY0000060,ORD0131996,CUST011317,68577.21,Cash,2023-07-01
PAY0000061,ORD0037164,CUST027048,28979.02,EMI,2023-07-01
PAY0000062,ORD0222582,CUST002186,50754.86,Cash,2023-07-01
PAY0000063,ORD0235446,CUST036911,14481.81,Credit Card,2023-07-01
PAY0000064,ORD0235444,CUST015832,8166.1,Cash,2023-07-01
PAY0000065,ORD0085686,CUST014920,44942.17,Net Banking,2023-07-01
PAY0000066,ORD0106522,CUST020091,66466.12,EMI,2023-07-01
PAY0000067,ORD0024922,CUST049668,40797.85,EMI,2023-07-01
PAY0000068,ORD0097165,CUST045125,11948.17,Credit Card,2023-07-01
PAY0000069,ORD0094560,CUST012049,45015.32,Credit Card,2023-07-01
PAY0000070,ORD0118857,CUST031032,25661.46,Credit Card,2023-07-01
PAY0000071,ORD0098567,CUST026925,35332.27,Credit Card,2023-07-01
PAY0000072,ORD0059832,CUST035696,72136.92,Net Banking,2023-07-01
PAY0000073,ORD0057081,CUST012588,64934.19,Net Banking,2023-07-01
PAY0000074,ORD0204744,CUST012788,61369.95,Debit Card,2023-07-01
PAY0000075,ORD0165953,CUST044271,68572.48,Wallet,2023-07-01
PAY0000076,ORD0222601,CUST040313,36914.45,Wallet,2023-07-01
PAY0000077,ORD0185779,CUST005198,30842.71,Debit Card,2023-07-01
PAY0000078,ORD0059772,CUST019457,59022.01,UPI,2023-07-01
PAY0000079,ORD0196173,CUST024599,13414.79,Wallet,2023-07-01
PAY0000080,ORD0164660,CUST003740,36298.78,Net Banking,2023-07-01
PAY0000081,ORD0056484,CUST037259,145776.66,Net Banking,2023-07-01
PAY0000082,ORD0036353,CUST023080,63852.38,Debit Card,2023-07-01
PAY0000083,ORD0056622,CUST017301,17471.83,Wallet,2023-07-01
PAY0000084,ORD0008973,CUST020791,64662.98,Net Banking,2023-07-01
PAY0000085,ORD0076244,CUST008903,30191.19,Cash,2023-07-01
PAY0000086,ORD0225342,CUST021178,99791.35,Net Banking,2023-07-01
PAY0000087,ORD0035583,CUST036113,34368.74,Cash,2023-07-01
PAY0000088,ORD0164486,CUST019473,21336.97,EMI,2023-07-01
PAY0000089,ORD0047996,CUST036919,149838.87,EMI,2023-07-01
PAY0000090,ORD0084507,CUST021104,68577.21,Wallet,2023-07-01
PAY0000091,ORD0118660,CUST049520,16130.4,EMI,2023-07-01
PAY0000092,ORD0160565,CUST030407,41057.22,Net Banking,2023-07-01
PAY0000093,ORD0044345,CUST014401,57261.51,Credit Card,2023-07-01
PAY0000094,ORD0169080,CUST010185,18972.67,EMI,2023-07-01
PAY0000095,ORD0208617,CUST036265,53923.98,Net Banking,2023-07-01
PAY0000096,ORD0014653,CUST035833,73004.64,EMI,2023-07-01
PAY0000097,ORD0014671,CUST024325,61577.77,Debit Card,2023-07-01
PAY0000098,ORD0124168,CUST025878,17744.86,Credit Card,2023-07-01
PAY0000099,ORD0246441,CUST033740,40329.44,Debit Card,2023-07-01
PAY0000100,ORD0211103,CUST035253,158740.53,Cash,2023-07-01
PAY0000101,ORD0225356,CUST014779,18757.75,Debit Card,2023-07-01
PAY0000102,ORD0150462,CUST043598,68479.94,UPI,2023-07-01
PAY0000103,ORD0060866,CUST008459,48535.84,Cash,2023-07-01
PAY0000104,ORD0064385,CUST041071,52788.07,EMI,2023-07-01
PAY0000105,ORD0009152,CUST008706,38782.97,EMI,2023-07-01
PAY0000106,ORD0127606,CUST035979,60062.22,Debit Card,2023-07-01
PAY0000107,ORD0134504,CUST010591,13924.89,EMI,2023-07-01
PAY0000108,ORD0090311,CUST046674,9714.62,Wallet,2023-07-01
PAY0000109,ORD0009276,CUST013393,56367.45,Debit Card,2023-07-01
PAY0000110,ORD0081373,CUST044023,62613.04,EMI,2023-07-01
PAY0000111,ORD0095108,CUST025124,42322.02,Credit Card,2023-07-01
PAY0000112,ORD0070184,CUST031842,103641.61,UPI,2023-07-01
PAY0000113,ORD0226040,CUST038968,13858.24,EMI,2023-07-01
PAY0000114,ORD0156376,CUST027620,113021.94,EMI,2023-07-01
PAY0000115,ORD0122128,CUST047806,122319.05,Wallet,2023-07-01
PAY0000116,ORD0060816,CUST033709,91208.38,Wallet,2023-07-01
PAY0000117,ORD0139985,CUST031390,33357.83,EMI,2023-07-01
PAY0000118,ORD0129856,CUST047825,9714.62,Wallet,2023-07-01
PAY0000119,ORD0090284,CUST049598,32563.64,Debit Card,2023-07-01
PAY0000120,ORD0009008,CUST021534,16748.65,Net Banking,2023-07-01
PAY0000121,ORD0031059,CUST034598,43530.16,Cash,2023-07-01
PAY0000122,ORD0001947,CUST039306,44022.14,Cash,2023-07-01
PAY0000123,ORD0045075,CUST043410,28607.36,UPI,2023-07-01
PAY0000124,ORD0008715,CUST035705,118315.71,Net Banking,2023-07-01
PAY0000125,ORD0070408,CUST018809,52788.07,Cash,2023-07-01
PAY0000126,ORD0076007,CUST044688,97508.96,Net Banking,2023-07-01
PAY0000127,ORD0221744,CUST041085,38442.63,Credit Card,2023-07-01
PAY0000128,ORD0060261,CUST036835,40329.44,Wallet,2023-07-01
PAY0000129,ORD0208809,CUST020645,36068.46,Cash,2023-07-01
PAY0000130,ORD0200840,CUST004637,38442.63,EMI,2023-07-01
PAY0000131,ORD0087356,CUST037778,55704.65,Wallet,2023-07-01
PAY0000132,ORD0102948,CUST026251,28979.02,Cash,2023-07-01
PAY0000133,ORD0172945,CUST008439,31865.57,EMI,2023-07-01
PAY0000134,ORD0039100,CUST007886,81343.52,Cash,2023-07-01
PAY0000135,ORD0130341,CUST027885,36797.84,UPI,2023-07-01
PAY0000136,ORD0073836,CUST009582,23021.74,Wallet,2023-07-01
PAY0000137,ORD0071419,CUST016619,28234.34,Credit Card,2023-07-01
PAY0000138,ORD0239168,CUST021480,11955.28,Credit Card,2023-07-01
PAY0000139,ORD0239216,CUST018789,49163.39,Credit Card,2023-07-01
PAY0000140,ORD0149297,CUST035860,128719.63,UPI,2023-07-01
PAY0000141,ORD0205082,CUST032181,35897.99,UPI,2023-07-01
PAY0000142,ORD0215443,CUST043841,34368.74,Net Banking,2023-07-01
PAY0000143,ORD0127049,CUST017961,30476.83,UPI,2023-07-01
PAY0000144,ORD0097826,CUST027068,16384.02,Net Banking,2023-07-01
PAY0000145,ORD0070332,CUST001522,92955.59,Wallet,2023-07-01
PAY0000146,ORD0021143,CUST008356,20164.72,Debit Card,2023-07-01
PAY0000147,ORD0238664,CUST027279,66494.87,UPI,2023-07-01
PAY0000148,ORD0105290,CUST005145,75382.9,UPI,2023-07-01
PAY0000149,ORD0208722,CUST033112,98411.29,UPI,2023-07-01
PAY0000150,ORD0237097,CUST040070,26720.8,Cash,2023-07-01
PAY0000151,ORD0237096,CUST036045,26069.09,EMI,2023-07-01
PAY0000152,ORD0090187,CUST018817,48628.0,Debit Card,2023-07-01
PAY0000153,ORD0227716,CUST010288,37903.36,Net Banking,2023-07-01
PAY0000154,ORD0090861,CUST004703,154948.91,Credit Card,2023-07-01
PAY0000155,ORD0027276,CUST011361,38674.7,UPI,2023-07-01
PAY0000156,ORD0174866,CUST008422,11955.28,EMI,2023-07-01
PAY0000157,ORD0190583,CUST026791,19375.55,UPI,2023-07-01
PAY0000158,ORD0093470,CUST037200,18849.04,Credit Card,2023-07-01
PAY0000159,ORD0073769,CUST025454,32412.64,UPI,2023-07-01
PAY0000160,ORD0242039,CUST047817,50800.4,Wallet,2023-07-01
PAY0000161,ORD0094895,CUST041984,45674.17,Wallet,2023-07-01
PAY0000162,ORD0084910,CUST038036,60352.16,Cash,2023-07-01
PAY0000163,ORD0144489,CUST030304,41376.01,EMI,2023-07-01
PAY0000164,ORD0033494,CUST002126,42994.35,Credit Card,2023-07-01
PAY0000165,ORD0234609,CUST046993,37753.0,Wallet,2023-07-01
PAY0000166,ORD0209735,CUST000492,97665.59,Cash,2023-07-01
PAY0000167,ORD0110475,CUST039375,75382.9,Credit Card,2023-07-01
PAY0000168,ORD0218962,CUST018954,36127.9,Credit Card,2023-07-01
PAY0000169,ORD0067420,CUST017766,19966.97,Net Banking,2023-07-01
PAY0000170,ORD0216748,CUST014142,21986.55,EMI,2023-07-01
PAY0000171,ORD0118049,CUST026724,142857.7,Net Banking,2023-07-01
PAY0000172,ORD0006875,CUST027475,24440.4,Debit Card,2023-07-01
PAY0000173,ORD0078395,CUST026473,16305.81,UPI,2023-07-01
PAY0000174,ORD0018393,CUST048398,33158.8,UPI,2023-07-01
PAY0000175,ORD0187093,CUST022453,61369.95,EMI,2023-07-01
PAY0000176,ORD0246804,CUST022162,126265.3,EMI,2023-07-01
PAY0000177,ORD0046627,CUST042615,37725.95,Net Banking,2023-07-01
PAY0000178,ORD0072921,CUST023837,49528.38,Debit Card,2023-07-01
PAY0000179,ORD0222141,CUST016213,17309.21,Credit Card,2023-07-01
PAY0000180,ORD0195826,CUST023037,67251.61,Debit Card,2023-07-01
PAY0000181,ORD0049610,CUST001037,27430.16,EMI,2023-07-01
PAY0000182,ORD0217603,CUST001199,37107.84,Debit Card,2023-07-01
PAY0000183,ORD0187629,CUST034812,41071.84,Credit Card,2023-07-01
PAY0000184,ORD0019549,CUST034532,54653.5,Net Banking,2023-07-01
PAY0000185,ORD0032191,CUST012223,21668.02,Wallet,2023-07-01
PAY0000186,ORD0075365,CUST022911,30944.31,Credit Card,2023-07-01
PAY0000187,ORD0054286,CUST027054,62613.04,Credit Card,2023-07-01
PAY0000188,ORD0184986,CUST043674,63681.62,Debit Card,2023-07-01
PAY0000189,ORD0024735,CUST032848,97003.9,Net Banking,2023-07-01
PAY0000190,ORD0131266,CUST037560,106482.45,Debit Card,2023-07-01
PAY0000191,ORD0046516,CUST040233,95222.6,Wallet,2023-07-01
PAY0000192,ORD0136936,CUST036534,34497.9,Wallet,2023-07-01
PAY0000193,ORD0038523,CUST032535,99629.58,Cash,2023-07-01
PAY0000194,ORD0192058,CUST033355,89271.66,Wallet,2023-07-01
PAY0000195,ORD0209417,CUST044521,23805.86,Net Banking,2023-07-01
PAY0000196,ORD0027991,CUST045514,66951.8,Net Banking,2023-07-01
PAY0000197,ORD0099609,CUST016635,66430.09,EMI,2023-07-01
PAY0000198,ORD0102008,CUST048423,22151.38,EMI,2023-07-01
PAY0000199,ORD0111817,CUST005369,39796.51,Wallet,2023-07-01
PAY0000200,ORD0233734,CUST010151,59210.32,Cash,2023-07-01
PAY0000201,ORD0129094,CUST017528,28879.43,Cash,2023-07-01
PAY0000202,ORD0023298,CUST007176,118928.89,Debit Card,2023-07-01
PAY0000203,ORD0191377,CUST035594,21380.46,Wallet,2023-07-01
PAY0000204,ORD0229968,CUST024478,35439.74,Debit Card,2023-07-01
PAY0000205,ORD0153567,CUST016904,81216.32,EMI,2023-07-01
PAY0000206,ORD0006702,CUST046187,25137.74,UPI,2023-07-01
PAY0000207,ORD0145274,CUST024874,48646.17,Net Banking,2023-07-01
PAY0000208,ORD0233996,CUST031619,35585.65,Wallet,2023-07-01
PAY0000209,ORD0151207,CUST015750,21733.49,UPI,2023-07-01
PAY0000210,ORD0218905,CUST003086,15272.14,Credit Card,2023-07-01
PAY0000211,ORD0204625,CUST035531,35407.64,Credit Card,2023-07-01
PAY0000212,ORD0096857,CUST031007,25709.25,Cash,2023-07-01
PAY0000213,ORD0083365,CUST004635,32407.87,Cash,2023-07-01
PAY0000214,ORD0078134,CUST001379,97508.96,Wallet,2023-07-01
PAY0000215,ORD0063030,CUST041728,106792.76,Debit Card,2023-07-01
PAY0000216,ORD0195516,CUST018128,35433.47,EMI,2023-07-01
PAY0000217,ORD0116067,CUST026182,92298.36,Net Banking,2023-07-01
PAY0000218,ORD0063218,CUST030517,104667.02,Cash,2023-07-01
PAY0000219,ORD0195669,CUST035634,75236.85,Cash,2023-07-01
PAY0000220,ORD0244595,CUST032753,36068.46,EMI,2023-07-01
PAY0000221,ORD0149901,CUST039805,127425.16,Net Banking,2023-07-01
PAY0000222,ORD0162053,CUST031400,21336.97,Cash,2023-07-01
PAY0000223,ORD0072987,CUST020078,20164.72,Credit Card,2023-07-01
PAY0000224,ORD0048132,CUST002968,37853.51,EMI,2023-07-01
PAY0000225,ORD0129298,CUST003057,12568.87,Net Banking,2023-07-01
PAY0000226,ORD0209941,CUST041183,93507.82,UPI,2023-07-01
PAY0000227,ORD0171318,CUST014840,53258.07,Wallet,2023-07-01
PAY0000228,ORD0200205,CUST016033,14235.89,EMI,2023-07-01
PAY0000229,ORD0011593,CUST023993,28663.68,Net Banking,2023-07-01
PAY0000230,ORD0170419,CUST016564,63002.93,UPI,2023-07-01
PAY0000231,ORD0220692,CUST002509,41353.48,Cash,2023-07-01
PAY0000232,ORD0241135,CUST045258,16965.51,Wallet,2023-07-01
PAY0000233,ORD0142260,CUST046668,78869.26,Wallet,2023-07-01
PAY0000234,ORD0001233,CUST008155,133194.33,Credit Card,2023-07-01
PAY0000235,ORD0120123,CUST037812,54286.22,Cash,2023-07-01
PAY0000236,ORD0021318,CUST033002,10013.75,Credit Card,2023-07-02
PAY0000237,ORD0127440,CUST035570,18598.5,EMI,2023-07-02
PAY0000238,ORD0148857,CUST024091,28663.68,Wallet,2023-07-02
PAY0000239,ORD0205972,CUST007028,70357.52,Net Banking,2023-07-02
PAY0000240,ORD0025293,CUST042926,92955.59,Net Banking,2023-07-02
PAY0000241,ORD0087252,CUST011838,11915.14,Debit Card,2023-07-02
PAY0000242,ORD0206344,CUST027010,130683.95,EMI,2023-07-02
PAY0000243,ORD0047710,CUST020743,43239.3,Credit Card,2023-07-02
PAY0000244,ORD0165087,CUST040052,102673.38,Wallet,2023-07-02
PAY0000245,ORD0039948,CUST046211,16173.74,Wallet,2023-07-02
PAY0000246,ORD0047759,CUST029233,99056.76,Debit Card,2023-07-02
PAY0000247,ORD0187004,CUST033835,24440.4,Debit Card,2023-07-02
PAY0000248,ORD0179995,CUST020334,59839.9,EMI,2023-07-02
PAY0000249,ORD0000157,CUST007345,16591.16,Cash,2023-07-02
PAY0000250,ORD0137241,CUST021660,91167.85,Cash,2023-07-02
PAY0000251,ORD0178086,CUST004023,15161.87,Credit Card,2023-07-02
PAY0000252,ORD0136416,CUST020113,75118.52,UPI,2023-07-02
PAY0000253,ORD0127865,CUST027076,9197.35,Credit Card,2023-07-02
PAY0000254,ORD0144425,CUST018663,150841.26,Net Banking,2023-07-02
PAY0000255,ORD0203193,CUST041071,68572.48,UPI,2023-07-02
PAY0000256,ORD0193591,CUST032040,18876.5,Cash,2023-07-02
PAY0000257,ORD0227635,CUST017441,73595.68,Net Banking,2023-07-02
PAY0000258,ORD0102952,CUST011727,61539.48,Wallet,2023-07-02
PAY0000259,ORD0138817,CUST032967,97665.59,UPI,2023-07-02
PAY0000260,ORD0143828,CUST012155,58577.4,EMI,2023-07-02
PAY0000261,ORD0107094,CUST042303,105605.81,UPI,2023-07-02
PAY0000262,ORD0218914,CUST004465,73504.98,UPI,2023-07-02
PAY0000263,ORD0210566,CUST041438,53649.69,Net Banking,2023-07-02
PAY0000264,ORD0148302,CUST028791,72436.84,Credit Card,2023-07-02
PAY0000265,ORD0154323,CUST039299,12929.88,Net Banking,2023-07-02
PAY0000266,ORD0069337,CUST019755,38442.63,Net Banking,2023-07-02
PAY0000267,ORD0041593,CUST016205,37903.36,Debit Card,2023-07-02
PAY0000268,ORD0129595,CUST026229,14235.89,Credit Card,2023-07-02
PAY0000269,ORD0123752,CUST022322,21494.22,EMI,2023-07-02
PAY0000270,ORD0142300,CUST027489,20653.93,Credit Card,2023-07-02
PAY0000271,ORD0148309,CUST035099,52788.09,EMI,2023-07-02
PAY0000272,ORD0126756,CUST036891,26996.97,UPI,2023-07-02
PAY0000273,ORD0043394,CUST014058,40793.79,Debit Card,2023-07-02
PAY0000274,ORD0110903,CUST008752,59839.9,Cash,2023-07-02
PAY0000275,ORD0139427,CUST008748,51679.87,Credit Card,2023-07-02
PAY0000276,ORD0234129,CUST031782,31974.0,Credit Card,2023-07-02
PAY0000277,ORD0128275,CUST000889,75118.52,Wallet,2023-07-02
PAY0000278,ORD0146911,CUST036982,26996.97,Net Banking,2023-07-02
PAY0000279,ORD0110925,CUST026044,120201.18,Credit Card,2023-07-02
PAY0000280,ORD0243135,CUST046337,60594.62,Credit Card,2023-07-02
PAY0000281,ORD0249941,CUST002849,92298.36,Credit Card,2023-07-02
PAY0000282,ORD0134397,CUST013970,90716.67,Wallet,2023-07-02
PAY0000283,ORD0011846,CUST011253,39099.18,UPI,2023-07-02
PAY0000284,ORD0209750,CUST020938,43332.09,Cash,2023-07-02
PAY0000285,ORD0109816,CUST046191,41353.48,Cash,2023-07-02
PAY0000286,ORD0136950,CUST020795,80755.16,Credit Card,2023-07-02
PAY0000287,ORD0051401,CUST001672,16745.41,Wallet,2023-07-02
PAY0000288,ORD0186813,CUST041754,105481.79,Cash,2023-07-02
PAY0000289,ORD0180936,CUST009615,9435.51,Cash,2023-07-02
PAY0000290,ORD0105338,CUST040043,38098.51,Cash,2023-07-02
PAY0000291,ORD0050581,CUST020020,35903.32,UPI,2023-07-02
PAY0000292,ORD0064028,CUST015821,62613.04,Debit Card,2023-07-02
PAY0000293,ORD0102934,CUST025212,133194.33,Credit Card,2023-07-02
PAY0000294,ORD0021102,CUST022527,9299.25,Credit Card,2023-07-02
PAY0000295,ORD0177210,CUST031578,57261.51,Credit Card,2023-07-02
PAY0000296,ORD0039154,CUST009949,61577.77,Debit Card,2023-07-02
PAY0000297,ORD0130095,CUST048795,33357.83,EMI,2023-07-02
PAY0000298,ORD0234849,CUST040986,158740.53,Debit Card,2023-07-02
PAY0000299,ORD0216850,CUST009811,78140.54,Wallet,2023-07-02
PAY0000300,ORD0116621,CUST004898,33158.8,Credit Card,2023-07-02
PAY0000301,ORD0170370,CUST041789,31616.54,Cash,2023-07-02
PAY0000302,ORD0167414,CUST032338,52387.58,Credit Card,2023-07-02
PAY0000303,ORD0069347,CUST022085,38560.68,Cash,2023-07-02
PAY0000304,ORD0004288,CUST002653,11112.5,Wallet,2023-07-02
PAY0000305,ORD0027945,CUST048294,78839.86,Cash,2023-07-02
PAY0000306,ORD0211933,CUST033431,59561.42,Wallet,2023-07-02
PAY0000307,ORD0162410,CUST045954,60953.66,Debit Card,2023-07-02
PAY0000308,ORD0180366,CUST017019,28165.77,EMI,2023-07-02
PAY0000309,ORD0139642,CUST004349,137521.67,Wallet,2023-07-02
PAY0000310,ORD0106829,CUST043183,101448.16,EMI,2023-07-02
PAY0000311,ORD0198518,CUST040204,18553.92,Cash,2023-07-02
PAY0000312,ORD0054390,CUST007773,159348.79,Wallet,2023-07-02
PAY0000313,ORD0214362,CUST029583,23910.56,Credit Card,2023-07-02
PAY0000314,ORD0061102,CUST032370,117003.48,Wallet,2023-07-02
PAY0000315,ORD0081890,CUST033632,21952.51,UPI,2023-07-02
PAY0000316,ORD0103494,CUST014267,79094.04,Debit Card,2023-07-02
PAY0000317,ORD0066184,CUST015085,47084.89,Debit Card,2023-07-02
PAY0000318,ORD0113208,CUST007751,35593.44,Credit Card,2023-07-02
PAY0000319,ORD0074268,CUST042929,79589.7,Cash,2023-07-02
PAY0000320,ORD0179137,CUST014801,39350.24,Debit Card,2023-07-02
PAY0000321,ORD0242652,CUST000726,37385.02,Cash,2023-07-02
PAY0000322,ORD0169150,CUST004331,79094.04,Debit Card,2023-07-02
PAY0000323,ORD0071468,CUST016971,69009.13,EMI,2023-07-02
PAY0000324,ORD0070034,CUST002808,30944.31,UPI,2023-07-02
PAY0000325,ORD0196647,CUST019923,34497.9,Debit Card,2023-07-02
PAY0000326,ORD0103313,CUST037102,35903.32,EMI,2023-07-02
PAY0000327,ORD0011831,CUST026616,79094.04,Cash,2023-07-02
PAY0000328,ORD0201147,CUST008707,16745.41,Wallet,2023-07-02
PAY0000329,ORD0037683,CUST020175,37540.12,Cash,2023-07-02
PAY0000330,ORD0122742,CUST019658,127425.16,Net Banking,2023-07-02
PAY0000331,ORD0231081,CUST044711,68577.21,Net Banking,2023-07-02
PAY0000332,ORD0152191,CUST027519,38096.27,Net Banking,2023-07-02
PAY0000333,ORD0180579,CUST039196,33188.18,Debit Card,2023-07-02
PAY0000334,ORD0057280,CUST039851,130450.34,Cash,2023-07-02
PAY0000335,ORD0031175,CUST038593,66607.94,EMI,2023-07-02
PAY0000336,ORD0233976,CUST000966,60594.62,UPI,2023-07-02
PAY0000337,ORD0148897,CUST036041,62279.06,UPI,2023-07-02
PAY0000338,ORD0226502,CUST022677,52855.4,Cash,2023-07-02
PAY0000339,ORD0225168,CUST047461,139245.67,Net Banking,2023-07-02
PAY0000340,ORD0050614,CUST048150,33296.09,Credit Card,2023-07-02
PAY0000341,ORD0023890,CUST002193,42096.47,Net Banking,2023-07-02
PAY0000342,ORD0144700,CUST049804,53604.97,Cash,2023-07-02
PAY0000343,ORD0046715,CUST004870,89269.46,Net Banking,2023-07-02
PAY0000344,ORD0002233,CUST015060,116997.31,Cash,2023-07-02
PAY0000345,ORD0221298,CUST000181,108368.48,Credit Card,2023-07-02
PAY0000346,ORD0003171,CUST031867,159195.0,Debit Card,2023-07-02
PAY0000347,ORD0141358,CUST003201,24215.93,Wallet,2023-07-02
PAY0000348,ORD0032138,CUST031452,31783.02,Cash,2023-07-02
PAY0000349,ORD0124294,CUST035135,64406.04,Cash,2023-07-02
PAY0000350,ORD0218480,CUST018275,69175.78,Credit Card,2023-07-02
PAY0000351,ORD0232251,CUST003102,18553.92,EMI,2023-07-02
PAY0000352,ORD0122567,CUST008426,19248.9,Debit Card,2023-07-02
PAY0000353,ORD0190156,CUST008654,21246.91,Wallet,2023-07-02
PAY0000354,ORD0094620,CUST048005,41425.15,Net Banking,2023-07-02
PAY0000355,ORD0087186,CUST038483,40608.16,Credit Card,2023-07-02
PAY0000356,ORD0134667,CUST031884,74512.28,Debit Card,2023-07-02
PAY0000357,ORD0157831,CUST022173,63852.38,Cash,2023-07-02
PAY0000358,ORD0179565,CUST031040,52373.81,UPI,2023-07-02
PAY0000359,ORD0040479,CUST011646,80479.93,Wallet,2023-07-02
PAY0000360,ORD0035107,CUST035562,101600.8,Wallet,2023-07-02
PAY0000361,ORD0136299,CUST043869,26363.0,Cash,2023-07-02
PAY0000362,ORD0174409,CUST045215,105481.79,Credit Card,2023-07-02
PAY0000363,ORD0198964,CUST043224,96048.89,UPI,2023-07-02
PAY0000364,ORD0076271,CUST018964,107623.55,Debit Card,2023-07-02
PAY0000365,ORD0154029,CUST006393,159764.3,Net Banking,2023-07-02
PAY0000366,ORD0117061,CUST032012,26069.09,Debit Card,2023-07-02
PAY0000367,ORD0025764,CUST030604,28963.62,Credit Card,2023-07-02
PAY0000368,ORD0027925,CUST008986,149269.26,UPI,2023-07-02
PAY0000369,ORD0158825,CUST039903,28752.78,UPI,2023-07-02
PAY0000370,ORD0107206,CUST031490,103756.83,Debit Card,2023-07-02
PAY0000371,ORD0070194,CUST037709,98087.22,Cash,2023-07-02
PAY0000372,ORD0213765,CUST041236,38098.51,Cash,2023-07-02
PAY0000373,ORD0162236,CUST001955,60047.38,UPI,2023-07-02
PAY0000374,ORD0099020,CUST049927,32078.55,Cash,2023-07-02
PAY0000375,ORD0215232,CUST020868,14199.52,Net Banking,2023-07-02
PAY0000376,ORD0115015,CUST022243,96647.09,UPI,2023-07-02
PAY0000377,ORD0090724,CUST037732,27430.16,Credit Card,2023-07-02
