ClaimID,CustomerID,ProductID,StoreID,PurchaseDate,ClaimDate,Issue,Status,WarrantyMonths
WC002707,CUST048194,P0047,ST0024,2023-04-04,2023-07-06,Camera not focusing,Resolved,12
WC003346,CUST000993,P0402,ST0006,2022-12-07,2023-07-06,Charging port not working,Rejected - Out of Warranty,12
WC004092,CUST027657,P0092,ST0051,2022-09-18,2023-07-06,Overheating during use,Pending Pickup,12
WC004097,CUST005987,P0458,ST0011,2022-08-12,2023-07-06,Battery draining fast,In Progress,12
WC004311,CUST049134,P0319,ST0023,2022-09-15,2023-07-06,Network/SIM issue,Resolved,12
WC003007,CUST020497,P0590,ST0052,2023-06-22,2023-07-07,Network/SIM issue,Resolved,12
WC004980,CUST027861,P0136,ST0049,2023-06-19,2023-07-07,Physical damage - screen crack,In Progress,12
WC005068,CUST014451,P0255,ST0057,2023-03-05,2023-07-07,Physical damage - screen crack,Resolved,12
WC005246,CUST043794,P0379,ST0005,2022-12-07,2023-07-07,Network/SIM issue,Resolved,12
WC000262,CUST035602,P0240,ST0004,2022-12-18,2023-07-08,Battery draining fast,Resolved,12
WC001032,CUST020894,P0152,ST0048,2023-01-20,2023-07-08,Water damage,Resolved,12
WC001478,CUST032099,P0414,ST0014,2022-07-26,2023-07-08,Network/SIM issue,In Progress,12
WC002866,CUST007833,P0324,ST0027,2022-10-27,2023-07-08,Overheating during use,In Progress,12
WC002868,CUST004410,P0390,ST0019,2023-05-03,2023-07-08,Screen flickering,Resolved,12
WC005213,CUST015939,P0009,ST0050,2022-12-25,2023-07-08,Charging port not working,Resolved,12
WC005464,CUST004052,P0174,ST0030,2023-01-02,2023-07-08,Screen flickering,Resolved,12
WC000914,CUST006538,P0072,ST0031,2023-01-05,2023-07-09,Water damage,Rejected - Out of Warranty,12
WC003370,CUST013822,P0548,ST0060,2023-01-22,2023-07-09,Water damage,Resolved,12
WC004955,CUST033435,P0542,ST0022,2022-11-11,2023-07-09,Overheating during use,Pending Pickup,12
WC005091,CUST033273,P0044,ST0057,2022-09-20,2023-07-09,Water damage,Resolved,12
WC000398,CUST027675,P0442,ST0047,2023-03-28,2023-07-10,Speaker/mic not working,Replaced,12
WC000787,CUST049448,P0211,ST0034,2022-09-16,2023-07-10,Overheating during use,Rejected - Out of Warranty,12
WC002161,CUST006944,P0296,ST0050,2022-09-02,2023-07-10,Software update issue,Pending Pickup,12
WC002687,CUST030213,P0010,ST0008,2023-04-19,2023-07-10,Screen flickering,Rejected - Out of Warranty,12
WC004830,CUST049701,P0148,ST0049,2022-10-20,2023-07-10,Overheating during use,Resolved,12
WC000428,CUST037753,P0146,ST0018,2022-11-07,2023-07-11,Charging port not working,Rejected - Out of Warranty,12
WC000825,CUST032290,P0162,ST0048,2022-11-25,2023-07-11,Speaker/mic not working,In Progress,24
WC000999,CUST005342,P0064,ST0035,2023-02-19,2023-07-11,Screen flickering,Pending Pickup,12
WC002813,CUST030338,P0053,ST0023,2022-06-21,2023-07-11,Software update issue,In Progress,24
WC003135,CUST030600,P0488,ST0014,2023-04-12,2023-07-11,Network/SIM issue,Resolved,12
WC003201,CUST021897,P0180,ST0008,2022-11-13,2023-07-11,Network/SIM issue,Pending Pickup,12
WC003682,CUST042775,P0540,ST0009,2023-06-01,2023-07-11,Camera not focusing,Pending Pickup,12
WC004049,CUST002403,P0232,ST0028,2023-05-31,2023-07-11,Physical damage - screen crack,In Progress,12
WC004204,CUST028776,P0556,ST0020,2023-02-20,2023-07-11,Network/SIM issue,In Progress,12
WC000776,CUST028315,P0206,ST0003,2023-04-18,2023-07-12,Charging port not working,Resolved,12
WC001412,CUST019779,P0122,ST0019,2023-04-17,2023-07-12,Water damage,Resolved,12
WC001627,CUST041824,P0292,ST0018,2022-12-01,2023-07-12,Charging port not working,Replaced,12
WC003547,CUST016057,P0566,ST0005,2023-04-29,2023-07-12,Charging port not working,Resolved,12
WC004573,CUST007419,P0366,ST0011,2023-06-17,2023-07-12,Physical damage - screen crack,Resolved,12
WC005521,CUST016074,P0345,ST0042,2022-11-16,2023-07-12,Speaker/mic not working,In Progress,12
WC001299,CUST031548,P0518,ST0035,2022-09-22,2023-07-13,Physical damage - screen crack,In Progress,12
WC001633,CUST030581,P0366,ST0018,2022-09-15,2023-07-13,Screen flickering,Resolved,12
WC003056,CUST031914,P0546,ST0051,2023-02-15,2023-07-13,Battery draining fast,Resolved,12
WC004748,CUST027454,P0416,ST0047,2023-01-21,2023-07-13,Charging port not working,Pending Pickup,12
WC000076,CUST000300,P0256,ST0044,2022-08-02,2023-07-14,Speaker/mic not working,Pending Pickup,12
WC001426,CUST030351,P0366,ST0016,2023-07-13,2023-07-14,Software update issue,In Progress,12
WC002600,CUST046438,P0232,ST0045,2023-02-15,2023-07-14,Battery draining fast,In Progress,12
WC003467,CUST021617,P0374,ST0028,2022-08-29,2023-07-14,Screen flickering,Resolved,12
WC004583,CUST030984,P0325,ST0042,2023-03-17,2023-07-14,Software update issue,Pending Pickup,24
WC005019,CUST020485,P0047,ST0008,2022-08-23,2023-07-14,Software update issue,Resolved,12
WC005215,CUST008559,P0103,ST0054,2022-09-16,2023-07-14,Battery draining fast,Rejected - Out of Warranty,12
WC000516,CUST000907,P0093,ST0019,2022-08-27,2023-07-15,Battery draining fast,Rejected - Out of Warranty,12
WC001437,CUST010056,P0584,ST0023,2022-10-07,2023-07-16,Overheating during use,Pending Pickup,12
WC002940,CUST013103,P0127,ST0048,2023-05-10,2023-07-16,Water damage,In Progress,12
WC003309,CUST012410,P0290,ST0019,2023-07-14,2023-07-16,Water damage,Resolved,24
WC003448,CUST017237,P0059,ST0042,2023-02-07,2023-07-16,Camera not focusing,Rejected - Out of Warranty,12
WC004845,CUST012903,P0205,ST0010,2023-02-03,2023-07-16,Charging port not working,Resolved,12
WC005125,CUST036925,P0165,ST0039,2023-02-25,2023-07-16,Network/SIM issue,Resolved,12
WC000535,CUST020800,P0414,ST0004,2022-08-01,2023-07-17,Software update issue,Resolved,12
WC000712,CUST034839,P0401,ST0038,2022-11-05,2023-07-17,Physical damage - screen crack,Resolved,12
WC003429,CUST024287,P0286,ST0026,2022-08-03,2023-07-17,Camera not focusing,Resolved,12
WC005442,CUST015142,P0414,ST0022,2023-01-19,2023-07-17,Screen flickering,Resolved,12
WC003323,CUST048380,P0549,ST0002,2023-06-21,2023-07-18,Software update issue,Pending Pickup,12
WC003344,CUST023633,P0356,ST0009,2023-04-28,2023-07-18,Battery draining fast,In Progress,12
WC004672,CUST044223,P0211,ST0026,2023-07-02,2023-07-18,Network/SIM issue,Resolved,12
WC004984,CUST022486,P0549,ST0028,2022-09-06,2023-07-18,Charging port not working,Replaced,12
WC005018,CUST026315,P0544,ST0021,2023-03-22,2023-07-18,Speaker/mic not working,Pending Pickup,12
WC005547,CUST043963,P0537,ST0007,2023-02-16,2023-07-18,Software update issue,Resolved,12
WC003121,CUST039662,P0456,ST0036,2023-07-18,2023-07-19,Software update issue,Pending Pickup,12
WC005101,CUST030020,P0160,ST0012,2022-11-08,2023-07-19,Screen flickering,Resolved,12
WC005700,CUST031030,P0485,ST0015,2023-06-23,2023-07-19,Camera not focusing,Rejected - Out of Warranty,12
WC000108,CUST035907,P0128,ST0024,2022-12-30,2023-07-20,Network/SIM issue,Rejected - Out of Warranty,12
WC001237,CUST036527,P0184,ST0033,2022-10-21,2023-07-20,Software update issue,Resolved,12
WC005034,CUST003046,P0231,ST0005,2022-08-07,2023-07-20,Software update issue,Replaced,12
WC000397,CUST025659,P0477,ST0051,2023-05-08,2023-07-21,Speaker/mic not working,Pending Pickup,12
WC001079,CUST040303,P0298,ST0009,2022-12-14,2023-07-21,Network/SIM issue,Resolved,12
WC001751,CUST030510,P0198,ST0017,2022-11-18,2023-07-21,Battery draining fast,In Progress,12
WC001828,CUST000093,P0234,ST0054,2023-05-14,2023-07-21,Camera not focusing,Replaced,12
WC001919,CUST044856,P0037,ST0055,2022-12-13,2023-07-21,Charging port not working,Replaced,12
WC002475,CUST032226,P0135,ST0034,2023-04-28,2023-07-21,Water damage,Resolved,12
WC004008,CUST048701,P0435,ST0047,2022-10-19,2023-07-21,Battery draining fast,In Progress,12
WC004251,CUST035624,P0255,ST0060,2022-12-15,2023-07-21,Overheating during use,Resolved,12
WC005339,CUST041144,P0245,ST0031,2023-04-11,2023-07-21,Speaker/mic not working,Rejected - Out of Warranty,12
WC005834,CUST028626,P0251,ST0003,2023-04-29,2023-07-21,Battery draining fast,Resolved,12
WC005872,CUST005942,P0053,ST0011,2021-08-27,2023-07-21,Overheating during use,Rejected - Out of Warranty,24
WC000882,CUST010034,P0158,ST0007,2023-06-25,2023-07-22,Screen flickering,Rejected - Out of Warranty,24
WC001625,CUST039949,P0578,ST0047,2023-01-30,2023-07-22,Water damage,Rejected - Out of Warranty,12
WC004425,CUST019804,P0350,ST0057,2023-06-20,2023-07-22,Network/SIM issue,Pending Pickup,12
WC000255,CUST025139,P0478,ST0013,2022-08-04,2023-07-23,Network/SIM issue,Resolved,12
WC000331,CUST016089,P0334,ST0049,2022-10-24,2023-07-23,Battery draining fast,Replaced,12
WC000480,CUST033449,P0303,ST0031,2023-06-23,2023-07-23,Water damage,Pending Pickup,12
WC001526,CUST039613,P0319,ST0005,2023-02-10,2023-07-23,Camera not focusing,Resolved,12
WC001637,CUST045971,P0360,ST0014,2023-04-25,2023-07-23,Overheating during use,Replaced,12
WC002206,CUST048761,P0087,ST0055,2022-05-13,2023-07-23,Speaker/mic not working,Pending Pickup,24
WC002568,CUST006953,P0225,ST0009,2023-02-04,2023-07-23,Network/SIM issue,Resolved,12
WC003359,CUST019242,P0510,ST0057,2022-08-27,2023-07-23,Overheating during use,In Progress,12
WC003431,CUST047220,P0481,ST0025,2023-05-05,2023-07-23,Camera not focusing,Resolved,12
WC004702,CUST025844,P0532,ST0036,2022-09-13,2023-07-23,Screen flickering,Resolved,12
WC002648,CUST036127,P0557,ST0043,2022-12-28,2023-07-24,Battery draining fast,Pending Pickup,12
WC003367,CUST038794,P0099,ST0042,2021-12-17,2023-07-24,Camera not focusing,Rejected - Out of Warranty,24
WC003948,CUST024290,P0066,ST0043,2023-06-11,2023-07-24,Speaker/mic not working,Rejected - Out of Warranty,12
WC004420,CUST046216,P0261,ST0038,2023-04-21,2023-07-24,Software update issue,Pending Pickup,12
WC005908,CUST045937,P0367,ST0059,2023-04-11,2023-07-24,Network/SIM issue,Replaced,12
WC000518,CUST031998,P0568,ST0017,2023-01-31,2023-07-25,Camera not focusing,Rejected - Out of Warranty,12
WC001463,CUST032312,P0452,ST0002,2021-09-07,2023-07-25,Network/SIM issue,Resolved,24
WC001309,CUST031232,P0357,ST0051,2023-05-11,2023-07-26,Physical damage - screen crack,Resolved,24
WC001566,CUST003483,P0217,ST0044,2023-05-25,2023-07-26,Battery draining fast,Resolved,12
WC001923,CUST033004,P0233,ST0024,2023-05-22,2023-07-26,Charging port not working,Pending Pickup,12
WC002785,CUST013290,P0531,ST0039,2023-06-04,2023-07-26,Battery draining fast,Replaced,12
WC002822,CUST038076,P0559,ST0023,2021-11-08,2023-07-26,Charging port not working,In Progress,24
WC002982,CUST011929,P0063,ST0003,2023-01-26,2023-07-26,Screen flickering,Resolved,12
WC003170,CUST004408,P0326,ST0007,2023-06-04,2023-07-26,Charging port not working,In Progress,12
WC003423,CUST004587,P0501,ST0009,2022-11-14,2023-07-26,Camera not focusing,Resolved,12
WC003552,CUST002744,P0600,ST0060,2022-09-07,2023-07-26,Overheating during use,Resolved,12
WC000383,CUST011253,P0034,ST0060,2023-05-15,2023-07-27,Battery draining fast,In Progress,12
WC000451,CUST016715,P0504,ST0052,2023-02-02,2023-07-27,Network/SIM issue,Resolved,12
WC000714,CUST026962,P0522,ST0048,2022-12-13,2023-07-27,Physical damage - screen crack,Resolved,12
WC001572,CUST015372,P0442,ST0048,2022-09-25,2023-07-27,Software update issue,Resolved,12
WC002776,CUST011261,P0375,ST0029,2022-10-27,2023-07-27,Physical damage - screen crack,Resolved,24
WC003819,CUST006368,P0485,ST0014,2023-07-21,2023-07-27,Overheating during use,Pending Pickup,12
WC005647,CUST016869,P0001,ST0037,2022-08-20,2023-07-27,Camera not focusing,Rejected - Out of Warranty,12
WC002525,CUST011532,P0567,ST0053,2023-02-27,2023-07-28,Camera not focusing,Replaced,12
WC004760,CUST032490,P0190,ST0043,2022-11-15,2023-07-28,Physical damage - screen crack,In Progress,12
WC002749,CUST013867,P0154,ST0044,2023-02-02,2023-07-30,Camera not focusing,Replaced,12
WC003577,CUST043227,P0523,ST0007,2023-04-13,2023-07-30,Overheating during use,Rejected - Out of Warranty,12
WC000580,CUST029966,P0565,ST0049,2022-10-23,2023-07-31,Charging port not working,In Progress,12
WC001969,CUST004566,P0440,ST0056,2023-02-21,2023-07-31,Battery draining fast,Resolved,12
WC002399,CUST022184,P0455,ST0056,2023-07-04,2023-07-31,Physical damage - screen crack,Resolved,12
WC004664,CUST005309,P0334,ST0022,2023-06-04,2023-07-31,Physical damage - screen crack,Resolved,12
WC000833,CUST003842,P0288,ST0030,2023-03-07,2023-08-01,Overheating during use,Rejected - Out of Warranty,12
WC002232,CUST036443,P0541,ST0020,2022-09-10,2023-08-01,Physical damage - screen crack,In Progress,12
WC003388,CUST031941,P0397,ST0003,2023-06-25,2023-08-01,Physical damage - screen crack,Resolved,12
WC005881,CUST012792,P0511,ST0007,2023-01-24,2023-08-01,Speaker/mic not working,Pending Pickup,12
WC005965,CUST034462,P0529,ST0054,2023-01-26,2023-08-01,Overheating during use,Resolved,12
WC003689,CUST041331,P0403,ST0026,2023-05-13,2023-08-02,Physical damage - screen crack,Pending Pickup,12
WC003694,CUST047924,P0318,ST0022,2022-10-08,2023-08-02,Charging port not working,Resolved,12
WC004137,CUST014586,P0414,ST0055,2023-02-18,2023-08-02,Physical damage - screen crack,Pending Pickup,12
WC005283,CUST042273,P0042,ST0030,2022-10-28,2023-08-02,Physical damage - screen crack,Replaced,12
WC005412,CUST032842,P0589,ST0019,2022-09-17,2023-08-02,Camera not focusing,Pending Pickup,12
WC001746,CUST012745,P0242,ST0052,2023-02-18,2023-08-03,Software update issue,Resolved,12
WC001788,CUST027161,P0232,ST0049,2022-08-12,2023-08-03,Battery draining fast,Pending Pickup,12
WC003427,CUST028965,P0442,ST0003,2023-04-20,2023-08-03,Charging port not working,In Progress,12
WC004045,CUST024840,P0475,ST0026,2023-03-11,2023-08-03,Overheating during use,Resolved,24
WC004307,CUST015430,P0224,ST0017,2022-08-20,2023-08-03,Camera not focusing,Resolved,12
WC001651,CUST035754,P0024,ST0022,2023-01-05,2023-08-04,Charging port not working,Resolved,12
WC004386,CUST000774,P0380,ST0006,2022-11-06,2023-08-04,Speaker/mic not working,In Progress,12
WC004894,CUST037178,P0015,ST0041,2023-01-08,2023-08-04,Camera not focusing,Pending Pickup,12
WC005973,CUST025453,P0389,ST0004,2022-10-18,2023-08-04,Physical damage - screen crack,Resolved,24
WC001803,CUST012426,P0007,ST0056,2022-11-09,2023-08-05,Screen flickering,Resolved,12
WC002505,CUST004015,P0543,ST0017,2021-09-03,2023-08-05,Physical damage - screen crack,Resolved,24
WC004456,CUST040666,P0248,ST0026,2023-05-22,2023-08-05,Software update issue,Rejected - Out of Warranty,12
WC005340,CUST015798,P0555,ST0058,2023-02-15,2023-08-05,Screen flickering,Replaced,12
WC005851,CUST026327,P0056,ST0024,2022-03-04,2023-08-05,Speaker/mic not working,Resolved,24
WC000733,CUST035002,P0510,ST0035,2023-03-02,2023-08-06,Network/SIM issue,Rejected - Out of Warranty,12
WC003155,CUST000471,P0139,ST0003,2022-09-03,2023-08-06,Battery draining fast,Resolved,24
WC003944,CUST005618,P0262,ST0055,2023-06-22,2023-08-06,Screen flickering,Resolved,24
WC001862,CUST039109,P0421,ST0013,2023-06-12,2023-08-07,Overheating during use,Pending Pickup,12
WC003212,CUST042892,P0284,ST0058,2023-06-17,2023-08-07,Overheating during use,Rejected - Out of Warranty,12
WC004982,CUST037269,P0400,ST0013,2023-03-04,2023-08-07,Physical damage - screen crack,In Progress,12
WC000344,CUST020624,P0269,ST0036,2023-02-06,2023-08-08,Water damage,Pending Pickup,12
WC000918,CUST025756,P0100,ST0049,2022-09-28,2023-08-08,Water damage,Pending Pickup,12
WC002719,CUST008816,P0119,ST0002,2023-07-29,2023-08-08,Overheating during use,Pending Pickup,12
WC005928,CUST002189,P0469,ST0023,2023-03-30,2023-08-08,Physical damage - screen crack,Resolved,12
WC000044,CUST022673,P0300,ST0041,2022-09-07,2023-08-09,Physical damage - screen crack,Resolved,12
WC001310,CUST040102,P0126,ST0039,2022-12-17,2023-08-09,Physical damage - screen crack,Resolved,24
WC001806,CUST019235,P0186,ST0040,2022-11-04,2023-08-09,Software update issue,Resolved,12
WC004674,CUST034812,P0403,ST0043,2023-04-13,2023-08-09,Battery draining fast,Pending Pickup,12
WC000470,CUST010272,P0404,ST0003,2022-10-21,2023-08-10,Water damage,Resolved,12
WC000930,CUST019947,P0247,ST0022,2023-08-06,2023-08-10,Battery draining fast,Resolved,12
WC001090,CUST028330,P0288,ST0024,2022-11-24,2023-08-10,Physical damage - screen crack,Pending Pickup,12
WC001747,CUST034584,P0454,ST0007,2023-05-07,2023-08-10,Charging port not working,Pending Pickup,12
WC002458,CUST000938,P0318,ST0010,2023-02-12,2023-08-10,Water damage,Resolved,12
WC004374,CUST007479,P0300,ST0009,2023-03-02,2023-08-10,Charging port not working,Rejected - Out of Warranty,12
WC004477,CUST001770,P0224,ST0031,2023-07-08,2023-08-10,Network/SIM issue,In Progress,12
WC000315,CUST033299,P0373,ST0032,2023-06-14,2023-08-11,Overheating during use,Resolved,12
WC000644,CUST031377,P0093,ST0046,2023-01-30,2023-08-11,Charging port not working,Resolved,12
WC001908,CUST019250,P0046,ST0026,2023-03-13,2023-08-11,Charging port not working,Resolved,12
WC004107,CUST004785,P0578,ST0015,2023-08-03,2023-08-11,Overheating during use,Resolved,12
WC005597,CUST041850,P0554,ST0017,2023-07-19,2023-08-11,Water damage,Resolved,12
WC003399,CUST013439,P0117,ST0043,2022-12-12,2023-08-12,Charging port not working,Resolved,12
WC004154,CUST010549,P0233,ST0013,2023-07-08,2023-08-12,Battery draining fast,In Progress,12
WC004228,CUST036027,P0461,ST0002,2023-08-11,2023-08-12,Speaker/mic not working,Resolved,24
WC004906,CUST000094,P0517,ST0001,2023-07-09,2023-08-12,Charging port not working,In Progress,12
WC005177,CUST008306,P0438,ST0030,2022-11-20,2023-08-12,Camera not focusing,Resolved,12
WC004130,CUST024813,P0092,ST0055,2023-05-01,2023-08-13,Overheating during use,Resolved,12
WC002227,CUST027395,P0471,ST0002,2023-02-22,2023-08-14,Software update issue,Replaced,12
WC003241,CUST041766,P0510,ST0059,2023-04-10,2023-08-15,Network/SIM issue,Rejected - Out of Warranty,12
WC003493,CUST044427,P0178,ST0053,2022-08-01,2023-08-15,Water damage,Pending Pickup,24
WC003666,CUST020411,P0418,ST0007,2023-06-20,2023-08-15,Camera not focusing,Rejected - Out of Warranty,12
WC001544,CUST043266,P0043,ST0003,2023-07-24,2023-08-16,Software update issue,Rejected - Out of Warranty,12
WC002267,CUST002087,P0580,ST0024,2023-01-26,2023-08-16,Battery draining fast,In Progress,12
WC003773,CUST006542,P0450,ST0030,2023-07-30,2023-08-16,Camera not focusing,Resolved,12
WC004151,CUST029940,P0575,ST0054,2022-08-22,2023-08-16,Physical damage - screen crack,Pending Pickup,24
WC005330,CUST020894,P0047,ST0015,2022-11-22,2023-08-16,Physical damage - screen crack,Replaced,12
WC005958,CUST044562,P0140,ST0017,2023-04-27,2023-08-16,Screen flickering,Resolved,12
WC000429,CUST020615,P0013,ST0001,2022-10-17,2023-08-17,Speaker/mic not working,Replaced,12
WC001761,CUST014372,P0374,ST0013,2023-07-31,2023-08-17,Speaker/mic not working,Replaced,12
WC002058,CUST038964,P0595,ST0027,2022-12-22,2023-08-17,Software update issue,Replaced,12
WC003057,CUST041274,P0227,ST0018,2022-04-16,2023-08-17,Charging port not working,Pending Pickup,24
WC003474,CUST039673,P0344,ST0053,2023-08-14,2023-08-17,Screen flickering,Resolved,12
WC003619,CUST027636,P0367,ST0006,2022-11-23,2023-08-17,Overheating during use,Resolved,12
WC004745,CUST039760,P0005,ST0022,2023-06-06,2023-08-17,Battery draining fast,Resolved,24
WC000586,CUST046125,P0179,ST0020,2023-07-21,2023-08-18,Water damage,In Progress,12
WC000622,CUST011810,P0499,ST0041,2023-06-15,2023-08-18,Camera not focusing,In Progress,12
WC001578,CUST017981,P0588,ST0031,2022-11-01,2023-08-18,Charging port not working,Replaced,12
WC002537,CUST015144,P0121,ST0024,2023-01-07,2023-08-18,Speaker/mic not working,In Progress,12
WC003903,CUST044973,P0145,ST0001,2023-06-14,2023-08-18,Overheating during use,Pending Pickup,12
WC004496,CUST036200,P0540,ST0006,2023-04-19,2023-08-18,Water damage,In Progress,12
WC005437,CUST018561,P0160,ST0041,2022-09-09,2023-08-18,Water damage,Resolved,12
WC005504,CUST016872,P0308,ST0026,2022-12-29,2023-08-18,Speaker/mic not working,Pending Pickup,12
WC000210,CUST000454,P0366,ST0043,2023-04-16,2023-08-19,Charging port not working,Pending Pickup,12
WC000853,CUST014679,P0451,ST0039,2023-05-01,2023-08-19,Physical damage - screen crack,Resolved,12
WC000903,CUST025107,P0304,ST0046,2023-03-11,2023-08-19,Water damage,Replaced,12
WC001434,CUST030905,P0230,ST0014,2023-05-18,2023-08-19,Battery draining fast,Rejected - Out of Warranty,12
WC002106,CUST012340,P0362,ST0020,2022-09-15,2023-08-19,Screen flickering,In Progress,12
WC003502,CUST014311,P0410,ST0044,2023-07-30,2023-08-19,Speaker/mic not working,In Progress,12
WC005469,CUST021321,P0559,ST0013,2022-12-21,2023-08-19,Physical damage - screen crack,Resolved,24
WC005627,CUST021889,P0496,ST0020,2022-10-14,2023-08-19,Network/SIM issue,Replaced,12
WC005734,CUST019306,P0356,ST0048,2023-02-06,2023-08-19,Charging port not working,Pending Pickup,12
WC001958,CUST046465,P0154,ST0031,2023-02-05,2023-08-20,Water damage,Resolved,12
WC002402,CUST020230,P0269,ST0023,2023-03-31,2023-08-20,Charging port not working,Replaced,12
WC003611,CUST014786,P0321,ST0038,2023-02-26,2023-08-20,Camera not focusing,Rejected - Out of Warranty,12
WC005217,CUST005941,P0247,ST0006,2022-12-02,2023-08-20,Camera not focusing,Resolved,12
WC001202,CUST007274,P0596,ST0022,2022-12-07,2023-08-21,Screen flickering,In Progress,12
WC004256,CUST001682,P0166,ST0001,2023-04-20,2023-08-21,Network/SIM issue,Resolved,12
WC004385,CUST022513,P0353,ST0001,2022-12-04,2023-08-21,Software update issue,Rejected - Out of Warranty,12
WC000312,CUST032488,P0212,ST0048,2022-11-06,2023-08-22,Network/SIM issue,Resolved,12
WC001466,CUST049963,P0385,ST0015,2022-11-16,2023-08-22,Software update issue,Replaced,12
WC004384,CUST043658,P0067,ST0026,2023-05-29,2023-08-22,Network/SIM issue,Rejected - Out of Warranty,12
WC005752,CUST022012,P0195,ST0033,2023-01-24,2023-08-22,Camera not focusing,In Progress,12
WC000274,CUST016893,P0531,ST0006,2023-03-15,2023-08-23,Water damage,Pending Pickup,12
WC000481,CUST023397,P0395,ST0012,2023-06-07,2023-08-23,Screen flickering,Rejected - Out of Warranty,12
WC000650,CUST048345,P0076,ST0024,2023-03-05,2023-08-23,Battery draining fast,In Progress,12
WC001125,CUST010893,P0371,ST0044,2023-05-17,2023-08-23,Charging port not working,Replaced,12
WC003634,CUST022217,P0587,ST0041,2023-07-23,2023-08-23,Charging port not working,Resolved,12
WC000857,CUST009084,P0322,ST0010,2022-09-03,2023-08-24,Speaker/mic not working,Pending Pickup,24
WC002134,CUST041985,P0350,ST0036,2023-02-10,2023-08-24,Camera not focusing,Replaced,12
WC003350,CUST015682,P0564,ST0046,2022-11-24,2023-08-24,Overheating during use,In Progress,12
WC004059,CUST040601,P0230,ST0022,2023-04-09,2023-08-24,Physical damage - screen crack,Rejected - Out of Warranty,12
WC004289,CUST006110,P0047,ST0049,2023-04-13,2023-08-24,Screen flickering,In Progress,12
WC000305,CUST046373,P0358,ST0044,2022-05-26,2023-08-25,Camera not focusing,Replaced,24
WC002526,CUST020760,P0019,ST0052,2023-02-19,2023-08-25,Speaker/mic not working,Resolved,12
WC003336,CUST036076,P0280,ST0041,2023-02-02,2023-08-25,Physical damage - screen crack,Pending Pickup,24
WC000158,CUST012163,P0424,ST0013,2022-09-15,2023-08-26,Speaker/mic not working,Resolved,12
WC000206,CUST027532,P0342,ST0002,2023-07-15,2023-08-26,Screen flickering,Resolved,12
WC000440,CUST008854,P0225,ST0017,2023-02-22,2023-08-26,Charging port not working,Replaced,12
WC000464,CUST004306,P0265,ST0028,2023-01-06,2023-08-26,Overheating during use,Rejected - Out of Warranty,12
WC000701,CUST044317,P0346,ST0056,2023-02-19,2023-08-26,Speaker/mic not working,Resolved,12
