StoreID,ProductID,StockLevel,ReorderLevel
ST0002,P0474,121,13
ST0002,P0266,80,33
ST0002,P0210,85,24
ST0002,P0516,239,36
ST0002,P0417,161,20
ST0002,P0138,195,17
ST0002,P0567,7,32
ST0002,P0290,124,28
ST0002,P0570,249,23
ST0002,P0299,135,24
ST0002,P0197,27,19
ST0002,P0509,93,22
ST0002,P0466,155,25
ST0002,P0062,235,32
ST0002,P0469,166,21
ST0002,P0283,146,36
ST0002,P0394,123,38
ST0002,P0222,191,30
ST0002,P0031,74,12
ST0002,P0539,128,35
ST0002,P0200,19,38
ST0002,P0189,161,22
ST0002,P0215,104,11
ST0002,P0495,87,36
ST0002,P0448,177,33
ST0002,P0279,52,23
ST0002,P0407,91,36
ST0002,P0097,37,25
ST0002,P0095,194,38
ST0002,P0082,62,11
ST0002,P0069,199,15
ST0002,P0260,91,28
ST0003,P0220,0,31
ST0003,P0563,199,13
ST0003,P0560,137,16
ST0003,P0332,233,33
ST0003,P0468,218,26
ST0003,P0285,199,25
ST0003,P0381,173,28
ST0003,P0133,226,12
ST0003,P0308,0,34
ST0003,P0514,116,30
ST0003,P0255,0,23
ST0003,P0192,0,37
ST0003,P0233,0,28
ST0003,P0439,57,12
ST0003,P0397,194,13
ST0003,P0506,115,25
ST0003,P0169,69,31
ST0003,P0262,186,13
ST0003,P0375,2,38
ST0003,P0530,233,24
ST0003,P0056,49,16
ST0003,P0299,127,14
ST0003,P0538,197,35
ST0003,P0554,41,18
ST0003,P0327,21,26
ST0003,P0202,245,17
ST0003,P0551,58,23
ST0003,P0474,98,28
ST0003,P0496,193,19
ST0003,P0139,186,29
ST0003,P0142,183,33
ST0003,P0140,224,37
ST0003,P0141,138,15
ST0003,P0198,12,30
ST0003,P0566,132,25
ST0003,P0263,50,11
ST0003,P0278,145,23
ST0003,P0119,15,37
ST0003,P0107,95,18
ST0003,P0081,51,36
ST0003,P0295,55,34
ST0003,P0342,0,15
ST0003,P0557,49,21
ST0003,P0428,123,36
ST0003,P0195,240,17
ST0003,P0479,0,35
ST0003,P0300,236,23
ST0003,P0461,203,26
ST0003,P0431,153,24
ST0003,P0312,137,38
ST0003,P0443,173,33
ST0003,P0200,73,12
ST0003,P0454,0,17
ST0003,P0223,234,34
ST0003,P0447,81,26
ST0003,P0076,66,23
ST0003,P0471,54,30
ST0003,P0071,235,19
ST0003,P0362,56,35
ST0003,P0452,67,30
ST0003,P0171,224,29
ST0003,P0350,191,24
ST0003,P0250,203,12
ST0003,P0316,236,14
ST0003,P0001,153,29
ST0003,P0553,85,23
ST0003,P0187,168,21
ST0003,P0268,233,35
ST0003,P0279,16,10
ST0003,P0490,136,26
ST0003,P0126,64,10
ST0003,P0175,10,22
ST0003,P0597,24,18
ST0003,P0549,6,19
ST0003,P0330,79,20
ST0003,P0587,113,12
ST0003,P0508,54,19
ST0003,P0096,97,36
ST0003,P0528,138,22
ST0003,P0035,0,13
ST0004,P0247,212,14
ST0004,P0492,38,27
ST0004,P0448,187,39
ST0004,P0211,219,16
ST0004,P0217,197,38
ST0004,P0271,127,11
ST0004,P0260,88,28
ST0004,P0249,127,32
ST0004,P0501,169,35
ST0004,P0573,83,23
ST0004,P0238,164,23
ST0004,P0334,202,16
ST0004,P0196,64,12
ST0004,P0475,64,38
ST0004,P0112,164,39
ST0004,P0282,152,23
ST0004,P0442,233,20
ST0004,P0534,51,16
ST0004,P0479,0,29
ST0004,P0453,227,31
ST0004,P0309,61,25
ST0004,P0288,248,18
ST0004,P0037,77,13
ST0004,P0495,229,22
ST0004,P0300,124,23
ST0004,P0381,200,22
ST0004,P0588,200,17
ST0004,P0444,5,10
ST0004,P0101,86,31
ST0004,P0507,153,34
ST0004,P0363,11,28
ST0004,P0374,225,22
ST0004,P0067,104,36
ST0004,P0312,201,22
ST0004,P0413,220,12
ST0004,P0086,138,36
ST0004,P0553,51,21
ST0004,P0559,145,38
ST0004,P0551,220,28
ST0004,P0346,79,27
ST0004,P0578,221,30
ST0004,P0195,166,14
ST0004,P0156,119,16
ST0004,P0097,180,24
ST0004,P0525,19,32
ST0004,P0357,44,12
ST0004,P0375,38,11
ST0004,P0192,0,10
ST0004,P0400,73,10
ST0004,P0325,165,20
ST0004,P0310,1,38
ST0004,P0295,191,26
ST0004,P0171,47,11
ST0004,P0283,201,23
ST0004,P0265,17,39
ST0004,P0153,75,31
ST0004,P0406,58,21
ST0004,P0599,146,27
ST0004,P0595,9,36
ST0004,P0555,88,24
ST0004,P0583,127,11
ST0004,P0532,184,37
ST0004,P0116,198,18
ST0004,P0075,153,20
ST0004,P0596,166,24
ST0004,P0261,25,17
ST0004,P0427,23,29
ST0004,P0194,107,11
ST0004,P0169,81,19
ST0004,P0246,131,16
ST0004,P0021,65,24
ST0004,P0316,145,27
ST0004,P0209,239,36
ST0004,P0200,124,34
ST0004,P0225,246,29
ST0004,P0223,244,31
ST0004,P0025,81,13
ST0004,P0203,125,16
ST0004,P0593,100,23
ST0004,P0066,65,19
ST0005,P0599,125,19
ST0005,P0435,188,24
ST0005,P0374,16,29
ST0005,P0347,239,35
ST0005,P0215,180,32
ST0005,P0087,124,24
ST0005,P0254,231,21
ST0005,P0137,95,17
ST0005,P0053,5,22
ST0005,P0458,93,30
ST0005,P0216,237,34
ST0005,P0211,53,37
ST0005,P0338,33,27
ST0005,P0038,126,13
ST0005,P0380,207,33
ST0005,P0275,141,29
ST0005,P0123,39,19
ST0005,P0071,155,10
ST0005,P0055,221,30
ST0005,P0551,34,17
ST0005,P0456,151,39
ST0005,P0369,74,39
ST0005,P0383,71,32
ST0005,P0412,80,12
ST0005,P0593,120,36
ST0005,P0201,48,11
ST0005,P0040,144,21
ST0005,P0236,234,21
ST0005,P0569,35,39
ST0005,P0451,70,18
ST0005,P0229,182,24
ST0005,P0020,177,39
ST0005,P0250,208,16
ST0005,P0312,113,15
ST0005,P0277,190,35
ST0005,P0259,71,18
ST0005,P0226,0,23
ST0005,P0089,54,35
ST0005,P0124,104,30
ST0005,P0030,217,14
ST0005,P0044,33,33
ST0005,P0415,0,20
ST0005,P0584,100,16
ST0005,P0005,121,30
ST0005,P0212,140,17
ST0005,P0533,242,15
ST0005,P0416,185,22
ST0005,P0306,72,35
ST0005,P0266,126,34
ST0005,P0335,241,30
ST0005,P0455,8,12
ST0005,P0422,165,15
ST0005,P0545,115,18
ST0005,P0057,115,36
ST0005,P0433,122,34
ST0005,P0363,91,16
ST0005,P0045,37,26
ST0005,P0264,209,14
ST0005,P0333,41,26
ST0005,P0013,45,11
ST0005,P0518,19,29
ST0005,P0233,27,31
ST0005,P0198,240,28
ST0005,P0431,27,36
ST0005,P0028,109,24
ST0005,P0296,26,33
ST0005,P0595,77,12
ST0005,P0058,130,17
ST0005,P0007,201,22
ST0005,P0267,86,15
ST0005,P0244,79,32
ST0005,P0343,0,24
ST0005,P0234,154,20
ST0005,P0186,7,13
ST0005,P0026,230,22
ST0005,P0220,0,16
ST0005,P0249,158,36
ST0005,P0084,29,38
ST0005,P0481,210,17
ST0005,P0121,2,37
ST0006,P0026,165,22
ST0006,P0027,186,36
ST0006,P0408,233,16
ST0006,P0001,127,10
ST0006,P0256,0,14
ST0006,P0150,15,21
ST0006,P0007,17,14
ST0006,P0095,34,38
ST0006,P0204,152,39
ST0006,P0085,61,25
ST0006,P0296,14,17
ST0006,P0316,139,26
ST0006,P0389,0,14
ST0006,P0097,141,38
ST0006,P0211,58,19
ST0006,P0468,124,10
ST0006,P0123,48,33
ST0006,P0579,215,12
ST0006,P0074,189,22
ST0006,P0587,87,38
ST0006,P0030,99,34
ST0006,P0172,0,24
ST0006,P0493,0,32
ST0006,P0410,211,33
ST0006,P0561,203,33
ST0006,P0583,184,15
ST0006,P0580,220,14
ST0006,P0418,143,15
ST0006,P0061,241,32
ST0006,P0571,18,15
ST0006,P0243,55,36
ST0006,P0555,67,10
ST0006,P0236,182,18
ST0006,P0533,111,14
ST0006,P0251,45,38
ST0006,P0486,144,10
ST0006,P0208,83,24
ST0006,P0152,33,14
ST0006,P0446,10,10
ST0006,P0092,0,15
ST0006,P0295,187,28
ST0006,P0573,179,12
ST0006,P0448,63,34
ST0006,P0379,178,21
ST0006,P0322,68,32
ST0006,P0101,12,28
ST0006,P0189,192,29
ST0006,P0120,11,24
ST0006,P0323,149,26
ST0006,P0127,98,25
ST0006,P0017,78,30
ST0006,P0576,84,18
ST0006,P0461,38,13
ST0006,P0346,102,10
ST0006,P0028,196,11
ST0006,P0151,208,18
ST0006,P0568,0,29
ST0006,P0308,0,22
ST0006,P0248,131,38
ST0006,P0294,74,36
ST0006,P0496,70,21
ST0006,P0332,21,37
ST0006,P0250,1,29
ST0006,P0116,13,31
ST0006,P0328,135,23
ST0006,P0518,114,34
ST0006,P0232,0,19
ST0006,P0241,119,16
ST0006,P0226,0,11
ST0006,P0528,54,32
ST0006,P0063,44,24
ST0006,P0438,166,34
ST0006,P0170,72,30
ST0006,P0391,103,36
ST0006,P0149,25,27
ST0006,P0547,10,36
ST0006,P0312,5,39
ST0006,P0176,208,10
ST0006,P0592,158,33
ST0006,P0557,34,25
ST0007,P0505,33,18
ST0007,P0509,39,31
ST0007,P0463,246,37
ST0007,P0071,137,33
ST0007,P0199,147,39
ST0007,P0053,148,21
ST0007,P0474,175,37
ST0007,P0269,214,35
ST0007,P0519,68,36
ST0007,P0542,142,11
ST0007,P0459,0,20
ST0007,P0267,13,26
ST0007,P0045,149,39
ST0007,P0531,37,29
ST0007,P0047,114,18
ST0007,P0300,110,27
ST0007,P0574,193,17
ST0007,P0226,0,14
ST0007,P0185,131,33
ST0007,P0108,49,37
ST0007,P0086,222,16
ST0007,P0085,29,24
ST0007,P0317,56,11
ST0007,P0245,175,38
ST0007,P0009,156,16
ST0007,P0184,119,20
ST0007,P0408,129,13
ST0007,P0013,160,25
ST0007,P0414,190,20
ST0007,P0318,120,35
ST0007,P0421,79,12
ST0007,P0016,118,27
ST0007,P0397,155,14
ST0007,P0413,238,39
ST0007,P0485,0,27
ST0007,P0088,164,27
ST0007,P0157,0,33
ST0007,P0335,89,15
ST0007,P0468,173,23
ST0007,P0144,233,31
ST0007,P0084,169,31
ST0007,P0476,121,36
ST0007,P0164,31,18
ST0007,P0081,45,20
ST0007,P0385,29,26
ST0007,P0161,103,36
ST0007,P0416,22,35
ST0007,P0126,141,30
ST0007,P0543,58,33
ST0007,P0311,0,26
ST0007,P0577,190,14
ST0007,P0070,30,15
ST0007,P0079,104,21
ST0007,P0247,67,20
ST0007,P0210,82,11
ST0007,P0123,156,21
ST0007,P0181,77,22
ST0007,P0441,0,20
ST0007,P0500,163,38
ST0007,P0298,48,20
ST0007,P0466,85,31
ST0007,P0265,58,35
ST0007,P0568,0,23
ST0007,P0472,212,34
ST0007,P0095,228,37
ST0007,P0454,0,31
ST0007,P0535,227,22
ST0007,P0145,115,18
ST0007,P0230,51,20
ST0007,P0405,69,13
ST0007,P0277,76,34
ST0007,P0560,131,11
ST0007,P0158,10,35
ST0007,P0532,12,17
ST0007,P0148,146,23
ST0007,P0541,188,12
ST0007,P0428,177,39
ST0007,P0180,95,18
ST0007,P0130,67,34
ST0007,P0349,34,12
ST0008,P0345,32,38
ST0008,P0160,217,37
ST0008,P0295,129,15
ST0008,P0517,129,11
ST0008,P0245,47,18
ST0008,P0181,236,27
ST0008,P0266,57,25
ST0008,P0175,244,14
ST0008,P0403,152,37
ST0008,P0069,116,39
ST0008,P0541,67,19
ST0008,P0106,61,26
ST0008,P0485,0,22
ST0008,P0285,102,12
ST0008,P0144,76,28
ST0008,P0575,25,33
ST0008,P0344,158,22
ST0008,P0320,245,13
ST0008,P0526,34,28
ST0008,P0521,33,10
ST0008,P0241,33,28
ST0008,P0502,229,13
ST0008,P0503,74,27
ST0008,P0404,40,15
ST0008,P0150,61,35
ST0008,P0017,37,38
ST0008,P0308,0,32
ST0008,P0506,94,17
ST0008,P0421,193,24
ST0008,P0417,138,25
ST0008,P0128,129,22
ST0008,P0145,14,36
ST0008,P0439,245,38
ST0008,P0525,90,19
ST0008,P0200,73,11
ST0008,P0337,137,14
ST0008,P0277,184,25
ST0008,P0257,0,28
ST0008,P0352,171,36
ST0008,P0230,88,10
ST0008,P0537,8,27
ST0008,P0480,239,17
ST0008,P0573,10,11
ST0008,P0596,58,37
ST0008,P0194,228,33
ST0008,P0505,179,12
ST0008,P0462,174,17
ST0008,P0013,228,31
ST0008,P0068,94,29
ST0008,P0347,6,18
ST0008,P0195,199,21
ST0008,P0461,149,15
ST0008,P0515,10,15
ST0008,P0434,64,24
ST0008,P0538,108,36
ST0008,P0484,158,22
ST0008,P0532,84,17
ST0008,P0119,240,14
ST0008,P0550,161,38
ST0008,P0315,157,11
ST0008,P0238,216,30
ST0008,P0243,152,18
ST0008,P0406,109,10
ST0008,P0330,23,19
ST0008,P0286,237,23
ST0008,P0198,182,34
ST0008,P0376,26,18
ST0008,P0571,6,16
ST0008,P0100,116,19
ST0008,P0281,60,20
ST0008,P0255,0,20
ST0008,P0095,109,27
ST0008,P0167,234,11
ST0008,P0313,0,31
ST0008,P0430,168,39
ST0008,P0111,195,13
ST0008,P0166,7,29
ST0008,P0353,144,30
ST0008,P0259,152,32
ST0008,P0231,115,36
ST0009,P0578,5,22
ST0009,P0313,0,14
ST0009,P0236,164,32
ST0009,P0577,123,13
ST0009,P0589,147,25
ST0009,P0316,15,15
ST0009,P0223,113,35
ST0009,P0015,210,36
ST0009,P0219,218,20
ST0009,P0261,150,10
ST0009,P0425,211,18
ST0009,P0265,12,25
ST0009,P0535,103,32
ST0009,P0123,190,18
ST0009,P0343,0,17
ST0009,P0511,80,17
ST0009,P0045,75,32
ST0009,P0360,173,36
ST0009,P0047,208,29
ST0009,P0066,173,29
ST0009,P0172,0,24
ST0009,P0412,144,19
ST0009,P0410,237,28
ST0009,P0182,6,30
ST0009,P0405,5,20
ST0009,P0101,34,11
ST0009,P0262,73,17
ST0009,P0436,65,13
ST0009,P0346,14,28
ST0009,P0471,200,39
ST0009,P0162,212,27
ST0009,P0508,186,16
ST0009,P0030,82,29
ST0009,P0083,191,37
ST0009,P0154,162,31
ST0009,P0267,61,36
ST0009,P0583,26,23
ST0009,P0414,188,29
ST0009,P0169,187,15
ST0009,P0090,248,34
ST0009,P0370,116,11
ST0009,P0253,14,22
ST0009,P0339,84,23
ST0009,P0555,130,29
ST0009,P0359,0,19
ST0009,P0137,20,35
ST0009,P0189,163,17
ST0009,P0292,18,23
ST0009,P0224,181,18
ST0009,P0533,147,11
ST0009,P0017,234,13
ST0009,P0326,80,26
ST0009,P0260,165,31
ST0009,P0341,245,23
ST0009,P0500,46,12
ST0009,P0419,233,37
ST0009,P0202,167,24
ST0009,P0220,0,19
ST0009,P0138,47,11
ST0009,P0324,122,14
ST0009,P0112,22,34
ST0009,P0496,182,22
ST0009,P0499,4,15
ST0009,P0161,185,29
ST0009,P0059,224,33
ST0009,P0434,95,10
ST0009,P0071,47,28
ST0009,P0371,191,13
ST0009,P0191,24,21
ST0009,P0462,102,23
ST0009,P0243,78,33
ST0009,P0024,86,14
ST0009,P0333,4,22
ST0009,P0293,167,32
ST0009,P0295,68,27
ST0009,P0350,23,17
ST0009,P0133,217,35
ST0009,P0383,65,39
ST0009,P0587,22,10
ST0009,P0497,211,21
ST0010,P0451,103,20
ST0010,P0075,1,11
ST0010,P0039,182,15
ST0010,P0016,244,24
ST0010,P0047,195,35
ST0010,P0434,176,39
ST0010,P0533,239,37
ST0010,P0209,226,26
ST0010,P0359,0,32
ST0010,P0128,209,28
ST0010,P0002,5,35
ST0010,P0485,0,14
ST0010,P0392,87,23
ST0010,P0333,128,15
ST0010,P0043,36,11
ST0010,P0145,97,22
ST0010,P0144,249,28
ST0010,P0499,128,25
ST0010,P0132,39,18
ST0010,P0241,163,31
ST0010,P0107,35,36
ST0010,P0040,10,37
ST0010,P0523,204,25
ST0010,P0552,194,30
ST0010,P0111,123,28
ST0010,P0204,176,23
ST0010,P0335,69,37
ST0010,P0481,100,37
ST0010,P0311,0,27
ST0010,P0022,116,18
ST0010,P0594,0,15
ST0010,P0186,23,14
ST0010,P0347,44,25
ST0010,P0247,195,16
ST0010,P0379,191,33
ST0010,P0049,198,29
ST0010,P0381,34,39
ST0010,P0476,101,32
ST0010,P0203,118,25
ST0010,P0477,142,35
ST0010,P0108,3,27
ST0010,P0489,63,17
ST0010,P0395,63,27
ST0010,P0583,14,33
ST0010,P0321,90,37
ST0010,P0455,244,13
ST0010,P0052,229,37
ST0010,P0425,137,23
ST0010,P0401,198,25
ST0010,P0528,55,36
ST0010,P0184,51,24
ST0010,P0540,20,28
ST0010,P0008,164,22
ST0010,P0398,0,10
ST0010,P0197,247,13
ST0010,P0304,68,22
ST0010,P0515,131,24
ST0010,P0074,240,36
ST0010,P0354,116,32
ST0010,P0151,123,36
ST0010,P0500,27,32
ST0010,P0298,234,20
ST0010,P0076,17,13
ST0010,P0524,75,35
ST0010,P0226,0,17
ST0010,P0467,160,15
ST0010,P0418,34,15
ST0010,P0521,200,22
ST0010,P0263,139,28
ST0010,P0544,1,39
ST0010,P0582,244,30
ST0010,P0278,167,19
ST0010,P0316,155,17
ST0010,P0331,203,35
ST0010,P0162,240,34
ST0010,P0319,97,27
ST0010,P0318,6,29
ST0010,P0365,127,32
ST0010,P0300,62,13
ST0010,P0520,119,38
ST0011,P0290,56,29
ST0011,P0522,4,10
ST0011,P0072,249,28
ST0011,P0347,81,14
ST0011,P0477,43,29
ST0011,P0340,98,16
ST0011,P0525,6,21
ST0011,P0494,70,39
ST0011,P0593,25,29
ST0011,P0498,124,13
ST0011,P0549,136,27
ST0011,P0262,87,12
ST0011,P0481,212,27
ST0011,P0468,202,14
ST0011,P0293,116,17
ST0011,P0190,232,28
ST0011,P0159,157,25
ST0011,P0080,180,14
ST0011,P0404,98,19
ST0011,P0299,106,30
ST0011,P0236,0,39
ST0011,P0228,0,27
ST0011,P0013,119,33
ST0011,P0585,89,39
ST0011,P0397,87,17
ST0011,P0143,72,13
ST0011,P0451,135,27
ST0011,P0527,193,15
ST0011,P0222,102,15
ST0011,P0478,211,34
ST0011,P0111,13,21
ST0011,P0561,199,29
ST0011,P0400,149,17
ST0011,P0600,147,23
ST0011,P0116,0,26
ST0011,P0263,33,13
ST0011,P0487,127,17
ST0011,P0007,162,15
ST0011,P0281,11,28
ST0011,P0377,0,12
ST0011,P0194,204,34
ST0011,P0440,149,19
ST0011,P0060,22,20
ST0011,P0338,28,36
ST0011,P0466,141,10
ST0011,P0206,200,18
ST0011,P0113,230,18
ST0011,P0426,70,21
ST0011,P0552,108,27
ST0011,P0237,190,20
ST0011,P0225,94,14
ST0011,P0542,181,15
ST0011,P0408,101,35
ST0011,P0405,167,27
ST0011,P0597,172,27
ST0011,P0176,41,15
ST0011,P0398,0,24
ST0011,P0496,33,25
ST0011,P0050,47,33
ST0011,P0557,159,19
ST0011,P0271,90,38
ST0011,P0560,150,33
ST0011,P0302,65,32
ST0011,P0138,245,22
ST0011,P0064,76,26
ST0011,P0063,88,23
ST0011,P0501,190,14
ST0011,P0294,69,25
ST0011,P0537,228,34
ST0011,P0583,103,36
ST0011,P0191,110,31
ST0011,P0413,192,10
ST0011,P0037,134,19
ST0011,P0484,32,20
ST0011,P0374,59,35
ST0011,P0121,166,32
ST0011,P0189,126,36
ST0011,P0216,34,32
ST0011,P0248,21,11
ST0011,P0071,61,27
ST0012,P0145,21,35
ST0012,P0180,213,32
ST0012,P0212,162,34
ST0012,P0202,27,35
ST0012,P0557,112,22
ST0012,P0406,228,20
ST0012,P0143,50,36
ST0012,P0389,0,38
ST0012,P0553,118,25
ST0012,P0137,27,38
ST0012,P0547,194,14
ST0012,P0315,189,32
ST0012,P0027,156,19
ST0012,P0289,0,28
ST0012,P0346,68,27
ST0012,P0331,239,30
ST0012,P0340,174,22
ST0012,P0364,123,23
ST0012,P0064,83,30
ST0012,P0542,231,24
ST0012,P0096,77,18
ST0012,P0181,162,27
ST0012,P0190,168,34
ST0012,P0199,156,21
ST0012,P0577,190,32
ST0012,P0395,38,16
ST0012,P0474,145,34
ST0012,P0285,187,29
ST0012,P0222,41,22
ST0012,P0507,0,19
ST0012,P0388,129,13
ST0012,P0334,37,33
ST0012,P0144,53,14
ST0012,P0336,88,25
ST0012,P0252,75,22
ST0012,P0213,127,31
ST0012,P0023,195,21
ST0012,P0510,0,21
ST0012,P0554,229,35
ST0012,P0038,180,13
ST0012,P0497,224,29
ST0012,P0493,0,12
ST0012,P0311,0,28
ST0012,P0543,225,32
ST0012,P0555,43,36
ST0012,P0011,73,27
ST0012,P0095,197,37
ST0012,P0191,39,28
ST0012,P0271,185,26
ST0012,P0119,147,13
ST0012,P0223,224,24
ST0012,P0295,172,38
ST0012,P0397,114,19
ST0012,P0291,220,27
ST0012,P0339,59,32
ST0012,P0573,113,33
ST0012,P0235,57,16
ST0012,P0281,2,22
ST0012,P0329,230,33
ST0012,P0087,110,34
ST0012,P0021,128,29
ST0012,P0580,67,27
ST0012,P0262,36,26
ST0012,P0408,240,26
ST0012,P0019,78,25
ST0012,P0250,222,37
ST0012,P0598,169,15
ST0012,P0536,241,20
ST0012,P0592,23,14
ST0012,P0172,0,27
ST0012,P0446,241,11
ST0012,P0090,113,21
ST0012,P0069,219,23
ST0012,P0386,211,21
ST0012,P0244,204,30
ST0012,P0537,54,17
ST0012,P0374,6,13
ST0012,P0033,45,36
ST0012,P0134,11,17
ST0012,P0110,180,39
ST0013,P0142,44,31
ST0013,P0019,217,24
ST0013,P0415,0,28
ST0013,P0058,170,21
ST0013,P0441,0,28
ST0013,P0584,103,16
ST0013,P0203,213,29
ST0013,P0467,127,20
ST0013,P0557,156,28
ST0013,P0101,70,22
ST0013,P0589,37,32
ST0013,P0399,3,26
ST0013,P0369,46,29
ST0013,P0503,131,25
ST0013,P0433,17,10
ST0013,P0308,0,36
ST0013,P0046,102,24
ST0013,P0387,35,16
ST0013,P0565,204,15
ST0013,P0210,147,13
ST0013,P0017,78,19
ST0013,P0375,215,32
ST0013,P0367,168,14
ST0013,P0417,130,29
ST0013,P0229,27,23
ST0013,P0493,0,14
ST0013,P0297,59,17
ST0013,P0160,231,22
ST0013,P0462,248,37
ST0013,P0115,247,37
ST0013,P0523,180,31
ST0013,P0552,171,21
ST0013,P0416,141,22
ST0013,P0480,150,38
ST0013,P0526,186,31
ST0013,P0437,1,29
ST0013,P0536,110,33
ST0013,P0177,187,33
ST0013,P0236,74,13
ST0013,P0193,221,10
ST0013,P0083,216,32
ST0013,P0563,126,11
ST0013,P0344,198,26
ST0013,P0321,127,25
ST0013,P0122,76,17
ST0013,P0176,82,39
ST0013,P0249,218,23
ST0013,P0491,87,17
ST0013,P0435,92,12
ST0013,P0245,179,17
ST0013,P0169,134,17
ST0013,P0272,216,21
ST0013,P0097,100,36
ST0013,P0598,26,19
ST0013,P0355,66,19
ST0013,P0431,187,36
ST0013,P0259,85,37
ST0013,P0317,168,32
ST0013,P0398,0,25
ST0013,P0547,197,20
ST0013,P0255,0,22
ST0013,P0510,0,34
ST0013,P0535,12,25
ST0013,P0218,134,28
ST0013,P0020,6,33
ST0013,P0391,115,26
ST0013,P0513,46,39
ST0013,P0143,9,12
ST0013,P0315,72,31
ST0013,P0108,190,31
ST0013,P0095,38,10
ST0013,P0213,107,12
ST0013,P0471,51,24
ST0013,P0448,139,19
ST0013,P0219,39,11
ST0013,P0596,29,34
ST0013,P0544,131,11
ST0013,P0561,215,33
ST0013,P0028,70,16
ST0013,P0285,191,27
ST0014,P0202,200,36
ST0014,P0069,205,25
ST0014,P0085,40,15
ST0014,P0137,156,24
ST0014,P0274,187,16
ST0014,P0060,115,22
ST0014,P0372,145,36
ST0014,P0160,2,35
ST0014,P0486,90,12
ST0014,P0555,164,25
ST0014,P0087,98,39
ST0014,P0188,14,32
ST0014,P0122,225,29
ST0014,P0046,152,14
ST0014,P0512,126,25
ST0014,P0600,125,19
ST0014,P0111,190,18
ST0014,P0532,37,25
ST0014,P0235,186,11
ST0014,P0317,132,19
ST0014,P0436,160,21
ST0014,P0286,122,17
ST0014,P0409,109,37
ST0014,P0489,150,26
ST0014,P0287,103,19
ST0014,P0249,44,38
ST0014,P0540,72,17
ST0014,P0145,243,20
ST0014,P0544,208,22
ST0014,P0587,23,20
ST0014,P0582,19,37
ST0014,P0043,77,24
ST0014,P0574,155,38
